6619500	18361,12285,11931,3627,21110
5952250	14261,14917,21490,15534,12285
145750	11679,11196,24565,14261,14917
9288000	5591,28059,9645,21110,2683
12008000	3651,24869,7868,14261
8555500	12606,13975,4351,25372,5598
425500	14261,14917,21490,15534,12285
4853750	11679,11196,24565,14261,14917
5980500	11679,11196,24565,14261,14917
4256500	27514,2410,22280,12435,6571
9039750	24601,24869,7997,11196,3228
4115500	2826,24565,14261,14917,13238
12215000	14261,18932,6672,12352,7868
591750	17458,24565,14261,15315,21838
11947000	29099,6431,21672,19514,11080
5256500	7868,4571,21838,10014,15874
7367000	18290,9829,3866,16540,8978
4956000	3650,5334,12610,14580,4571
7927750	6290,4694,15138,18834,12754
9982500	14917,9290,1415,2257,9838
4606000	16184,6290,4694,8622,21110
6572500	18024,12168,7868,10521,29099
10443000	7868,13450,29099,25488,2042
1710500	5087,9486,12220,5150,7868
9706000	29099,20386,12168,489,20297
3913250	22179,28631,24015,15534,8689
1627000	24565,14261,14917,7868,4571
10063000	21110,26722,21067,2033,22393
4195500	14261,15315,15534,12285,21490
239250	7019,7868,4694,25372,27939
5292000	13672,21919,25260,11670,23779
1194750	24565,4571,11080,7868,5334
5108000	5093,25272,14261,14580,11080
1617250	1831,18362,3458,2217,8637
4054000	11679,11196,24565,14261,14917
8145500	11679,11196,24565,14261,14917
567250	18946,17945,11080,25272
12371000	13737,25329,1831,14294,12394
6867750	2815,20529,29203,2270,7552
1319000	14261,14917,27467,2971,599
1832000	24565,14261,4571,7868,5334
3188000	11679,11196,24565,14261,14917
8430000	25372,24565,14261,13238,21838
29750	11679,11196,24565,14261,14917
980000	11679,11196,24565,14261,14917
5139250	14942,6431,19514,29099,11080
6099250	20127,17431,20386,16463,25372
2050000	21110,20529,6805,21659,27791
2316250	29095,6094,4571,679,7070
10533750	12977,7868,21092,19973,14261
10915250	24565,14261,14917,7868,4571
6458000	11679,11196,24565,14261,14917
4557250	16818,1481,19962,7868,25830
6250250	11679,11196,24565,14261,14917
8909750	16184,6290,4694,8622,21110
7116750	3847,14930,18689,24242,11196
1815750	11679,11196,24565,14261,14917
1971500	11000,13701,25329,2610,14261
5170500	8689,25260,18805,2257,21672
11111500	13238,7868,7019,25372,27939
6996000	11679,11196,24565,14261,14917
7016500	19993,21217,16527,27407,13036
3335000	11679,11196,24565,14261,14917
6264750	2257,16463,8622,17058,21110
9202750	6290,4694,16463,17058,21110
10302500	27634,9369,679,27952,14065
3114000	16463,8622,1438,17058,21110
9015000	23669,24196,14917,4268,26523
452750	24565,14261,14917,7868,4571
3404000	23829,18868,8689,7868,3627
1063000	10718,24307,22319,22280,15019
8435250	12395,10872,24628,16110,14261
8869250	11679,11196,24565,14261,14917
6126750	11679,11196,24565,14261,14917
6766250	21849,22530,7613,6988,599
1579250	14917,12541,4534,6246,26426
764750	24565,14261,14917,7868,4571
2910750	11679,11196,24565,14261,14917
12417500	11679,11196,24565,14261,14917
8156500	23143,3228,4078,27791,1831
418500	12754,23554,5377,15138,13020
3245250	14917,9290,1415,2257,9838
4423500	11679,11196,24565,14261,14917
8195000	27044,10702,20595,5185,18024
11632250	16463,8622,17058,12220,21110
5034000	16028,14020,16550,11679,12220
8845250	19126,23829,11857,9369,3627
3168000	11679,11196,24565,14261,14917
11493000	7868,527,21865
9079500	7868,2683,12220,5150
8730250	28616,29331,3145,28177,911
65500	20896,8311,22749,7868,29099
6515500	2826,24565,14261,14917,13238
832250	18730,14887,3228,27791,1831
10054250	24986,12285,13020,20386,20297
4503500	8643,21515,11543,24193,4147
11142000	8311,12394,7868,29099,12352
4376250	2160,10616,14020,27407,8689
5901250	5598,2513,12606,18730,22482
10521000	2655,12447,25272,15874,7868
1561250	251,23829,7868,12352,3627
7568750	25372,6290,5081,1481,1831
2182750	4694,2257,9838,8622,21110
190500	11679,11196,24565,14261,14917
3977750	1852,10072,25372,13975,17087
10401500	21657,28463,24929,7868,27791
4814750	7868,24603,29265,14533
3226500	25917,24565,14261,14917,12606
3588500	25372,16463,20846,18024,1831
6247250	12220,11176,21919,25260,11670
10885750	11679,11196,24565,14261,14917
11552750	18697,24565,14261,12606,11080
10322250	24565,14261,14917,7868,4571
7483500	13757,15315,4281,21865,12329
3148500	8689,23829,18868,7868,3627
11169500	12394,29425,17640,25029,14294
10598500	8622,599,12220,21110,12352
47000	11679,11196,24565,14261,14917
4102750	27467,9258,5267,16112,25770
5655250	4078,25372,16406,11196,3228
3293750	5399,13240,18024,26523,18227
341000	9953,7061,6880,26754
267250	12394,11563,2367,679,7105
6654750	5957,10872,12395,24628,14261
5957500	21548,14119,27019,2826,29203
4475750	11679,7868,21110,3627,8689
7190750	10503,28784,23120,27483,9413
7163250	24385,4281,21110,9567,4571
12231250	11080,12285,21490,15534,26426
12386500	11679,11196,24565,14261,14917
11535500	17458,24565,14261,14917,15315
9842500	22489,25260,21110,18805,7868
7320250	11679,11196,24565,14261,14917
